summoner,rank,lp,wins,winrate,rankFlex,winsFlex,winrateFlex
PolskiKoz,Challenger,1769,352,58.1,Master,95,63.3%
WindbreakerXD,Challenger,1688,290,58.4,Diamond,120,67.4%
hi im Nekro,Challenger,1524,256,60.0,,,
Litny,Challenger,1520,262,57.2,,,
berryrasp,Challenger,1498,491,53.8,Challenger,310,62.6%
tall and hot,Challenger,1387,137,59.6,Diamond,26,56.5%
Jesus Wafflecat,Challenger,1381,602,53.0,,,
naizduP 997,Challenger,1328,311,54.6,Diamond,28,75.7%
Yefot,Challenger,1326,272,57.0,Platinum,38,71.7%
I am Sobek,Challenger,1304,409,53.7,Challenger,288,63.6%
xlnt,Challenger,1300,488,53.4,Diamond,35,56.5%
Coatpustmain,Challenger,1283,244,56.4,Platinum,61,60.4%
Max420360,Challenger,1278,374,57.5,Master,119,60.1%
twtv regate1,Challenger,1277,128,64.0,Platinum,21,91.3%
God King Yassuo,Challenger,1273,212,56.7,Platinum,138,56.1%
TAE Tiridus,Challenger,1260,234,57.2,Master,105,52.0%
Ambis,Challenger,1238,605,52.6,Diamond,72,50.7%
Scaryride,Challenger,1238,339,54.3,GrandMaster,128,59.0%
LunaTown,Challenger,1230,351,53.2,Challenger,110,61.1%
bazant25,Challenger,1193,234,55.5,Platinum,39,55.7%
Nihility,Challenger,1171,455,53.8,Diamond,53,62.4%
mid useless uwu,Challenger,1170,259,57.0,Platinum,67,53.6%
Mamm60n,Challenger,1145,134,59.0,Gold,17,81.0%
90909090,Challenger,1144,233,54.8,Diamond,105,49.8%
Ragnar Łothbr&omicron;k,Challenger,1139,165,57.5,,,
dumb eboy,Challenger,1136,210,55.3,Platinum,82,59.9%
T&ouml;kgyalu,Challenger,1136,187,54.7,Diamond,59,61.5%
Boots of Speed,Challenger,1132,301,54.0,Platinum,13,56.5%
Ki&omicron;sbe,Challenger,1124,236,59.0,,,
cinca,Challenger,1115,220,58.0,Master,65,64.4%
Snoopy,Challenger,1113,221,55.8,Platinum,20,80.0%
Wejker1,Challenger,1108,250,55.8,,,
Maciuś lat 8,Challenger,1108,214,55.9,Diamond,105,51.5%
R&oacute;k&iacute;,Challenger,1105,211,56.1,Diamond,138,62.2%
MyTimeToBard,Challenger,1097,408,53.1,Platinum,76,55.1%
Csak1maradhat,Challenger,1089,336,54.5,Platinum,140,59.6%
NezukoINThebox,Challenger,1079,126,60.6,Gold,21,56.8%
Dżankos Smurf,Challenger,1077,243,54.0,Platinum,34,51.5%
KataForLife,Challenger,1071,157,62.8,Silver,4,26.7%
iga,Challenger,1060,276,56.9,,,
AwcyS,Challenger,1056,368,52.9,Diamond,218,52.5%
Venom Dei,Challenger,1041,549,52.6,Diamond,126,52.7%
Natrium,Challenger,1032,261,56.0,Master,239,54.3%
blood of life xo,Challenger,1031,127,60.2,Platinum,18,72.0%
MENTAL SIT DOWN,Challenger,1029,326,54.2,Diamond,116,53.7%
SanSiroBro,Challenger,1026,159,53.7,Gold,10,41.7%
Audire,Challenger,1025,273,53.1,,,
Dodge Zalech23,Challenger,1022,242,54.6,Platinum,35,59.3%
Joseph Wilford,Challenger,1021,161,61.5,,,
AAAAAAAIWANNADIE,Challenger,1017,140,58.6,Diamond,45,64.3%
Mr Senuai,Challenger,1014,243,58.0,Challenger,146,71.9%
Hobbi,Challenger,1013,154,56.8,Challenger,88,68.8%
M&aelig;stro V2,Challenger,1012,126,55.8,Platinum,23,82.1%
Nooyk,Challenger,1007,315,54.1,,,
06042000,Challenger,1007,140,60.6,Diamond,21,56.8%
edru drug acc,Challenger,1004,145,62.0,,,
feelings eternal,Challenger,1000,183,60.4,,,
Jinx needs a hug,Challenger,999,106,62.0,Platinum,7,63.6%
Razwen,Challenger,994,355,56.3,Platinum,41,63.1%
5hadow,Challenger,982,214,55.9,Platinum,11,64.7%
Desperate Nasus,Challenger,981,204,57.3,Silver,9,81.8%
Necromartin,Challenger,974,591,52.8,Platinum,43,58.9%
Topson fan,Challenger,973,149,61.1,,,
Stuffys,Challenger,969,122,58.7,Platinum,52,74.3%
contemplation,Challenger,968,558,52.2,,,
I am Budzik,Challenger,968,186,54.5,Challenger,83,76.1%
106111104110,Challenger,963,316,55.1,,,
TryToStopMeee,Challenger,961,500,51.8,Platinum,111,56.1%
Roksa,Challenger,961,231,54.0,Diamond,174,67.7%
Laxoni,Challenger,960,394,55.6,Platinum,49,62.8%
kush uwu,Challenger,959,271,52.8,Master,47,58.0%
Different Humble,Challenger,958,190,56.4,Diamond,59,67.0%
ForceUp,Challenger,956,229,55.3,Diamond,68,45.6%
BYLB Eternal,Challenger,956,221,54.3,Diamond,33,53.2%
Catstyle,Challenger,955,281,53.5,,,
&Epsilon;lite,Challenger,954,183,56.7,,,
OdieCP,Challenger,952,239,53.7,Diamond,24,75.0%
490,Challenger,944,196,54.6,,,
bet u wish,Challenger,942,117,65.7,,,
KotCurll,Challenger,941,450,53.6,Diamond,145,55.3%
Araysh,Challenger,938,358,53.8,Diamond,37,58.7%
Mart&iuml;n,Challenger,935,216,55.4,Master,52,53.6%
AsOs420,Challenger,933,210,62.1,,,
el Chap1nh0,Challenger,931,127,59.1,Diamond,28,49.1%
Suicidal Supp,Challenger,927,318,55.1,Master,60,53.1%
shizeR31,Challenger,927,212,55.9,Platinum,42,50.6%
lonely 7,Challenger,927,109,65.3,Gold,14,73.7%
apollo321,Challenger,925,191,54.7,,,
T12AFG4SGF911DA2,Challenger,925,136,63.6,,,
Sir helpalot,Challenger,922,233,55.5,Diamond,299,51.0%
Erring,Challenger,921,269,52.4,Diamond,83,50.9%
Cougar Abuser,Challenger,917,310,53.3,Diamond,13,56.5%
&Xi; KG &Xi;,Challenger,914,136,57.9,,,
god complex &zeta;,Challenger,913,526,51.9,Platinum,36,61.0%
Carry Only,Challenger,913,241,54.2,Diamond,43,50.6%
JustinDrewBieber,Challenger,911,450,52.1,GrandMaster,315,55.9%
Kondrajwer,Challenger,908,245,55.1,Diamond,87,54.4%
Smutny Bambol,Challenger,908,196,56.2,Diamond,115,55.6%
Panic Fear,Challenger,905,316,53.7,Master,114,59.4%
undying desire,Challenger,905,235,56.4,,,
kolofou 58713,Challenger,905,133,52.8,Gold,15,50.0%
VHeroes,Challenger,903,192,55.2,Diamond,17,60.7%
pitaya,Challenger,899,171,57.4,Platinum,59,56.2%
Endlave,Challenger,898,244,54.7,Platinum,197,55.8%
Kizuro,Challenger,895,90,63.4,Diamond,77,55.0%
